University Rating,SOP,LOR ,Research,Chance of Admit ,adm_score
2,2.4,4.3,1,77.6,123.31
5,4.4,1.9,0,53.3,118.98
2,4.1,4.6,1,91.7,127.33
2,1.3,2.0,0,59.8,120.63
3,3.7,1.6,1,41.5,115.62
4,2.0,1.8,1,55.8,120.28
5,3.8,4.8,0,82.9,127.66
2,5.0,5.0,1,88.7,125.85
4,2.1,4.8,1,78.5,128.64
4,4.9,4.4,1,86.0,128.58
1,1.4,1.7,1,67.8,121.16
5,1.1,3.8,0,52.3,115.66
2,1.9,3.6,0,91.6,130.64
2,2.8,1.9,0,62.9,122.55
4,2.3,1.5,1,64.3,131.59
2,2.9,3.7,1,89.5,127.24
3,1.1,1.4,1,64.1,124.61
1,4.8,4.5,1,86.6,128.99
2,2.2,1.7,1,61.4,125.3
2,2.1,1.9,0,68.5,123.09
3,4.7,4.4,0,91.1,131.76
2,4.9,4.0,0,67.2,120.64
3,4.8,4.9,1,84.1,128.15
3,3.2,3.3,0,49.0,117.63
2,4.8,4.8,1,82.2,125.74
2,4.9,4.9,0,89.4,128.16
2,4.8,5.0,1,93.3,129.79
4,4.0,5.0,1,94.2,129.62
2,3.4,4.3,1,86.5,132.18
4,1.0,4.3,1,67.6,123.24
4,3.5,4.1,1,73.9,127.55
3,4.1,3.3,1,75.1,126.26
4,4.3,2.0,1,78.0,126.49
2,4.9,4.3,0,90.7,129.09
2,4.2,3.3,1,92.2,132.09
3,4.7,4.1,1,89.7,133.24
3,1.0,1.9,0,50.6,117.68
4,3.9,3.9,1,66.0,127.11
4,2.2,1.5,1,54.9,122.22
3,3.1,3.8,1,80.2,126.5
3,2.0,3.2,1,77.3,125.1
4,1.9,1.6,1,50.9,120.5
4,4.0,4.5,1,91.7,135.08
3,3.5,2.3,0,60.2,122.25
2,1.7,4.6,0,56.5,118.5
3,4.2,3.4,1,58.8,120.64
4,2.5,3.0,0,53.1,121.11
4,4.6,4.8,1,94.4,133.94
3,2.1,2.5,0,74.0,126.85
5,2.1,2.3,0,43.9,115.34
3,4.9,1.9,0,85.9,130.53
2,1.0,1.4,1,40.8,115.48
5,4.8,3.6,1,86.8,131.25
2,4.2,3.5,0,67.7,125.79
2,3.1,2.0,0,53.9,120.88
2,4.0,4.3,1,87.5,128.58
3,2.2,3.3,1,78.8,126.34
4,4.4,4.1,1,93.7,134.32
3,1.3,1.4,1,46.6,116.91
2,3.6,2.8,0,85.0,132.03
1,4.8,4.8,0,78.9,123.66
3,2.6,1.7,1,65.6,128.44
2,4.7,3.8,1,84.7,122.69
2,3.0,2.6,1,66.1,123.44
2,4.6,4.7,1,79.3,129.05
5,4.8,4.6,1,86.7,126.79
3,1.5,1.7,0,48.1,122.14
4,4.6,4.6,0,62.2,126.12
3,3.9,3.7,1,68.6,128.91
5,4.9,3.0,1,77.5,124.5
5,4.6,4.1,1,93.2,131.04
4,2.3,4.1,1,70.4,125.04
2,4.7,4.1,0,71.5,122.1
2,4.5,2.8,1,88.5,126.5
5,1.7,4.4,0,69.2,124.8
3,2.6,1.9,1,61.3,118.78
3,4.9,4.0,0,89.2,133.01
3,4.3,2.1,0,48.2,118.41
4,1.0,1.4,0,49.2,119.06
2,4.9,4.7,1,91.8,131.14
5,2.9,3.9,0,70.2,120.92
3,4.8,2.6,0,45.7,123.17
2,3.5,2.3,1,64.1,126.9
5,4.9,3.7,0,63.6,120.85
3,2.8,3.6,1,74.8,125.83
3,1.9,1.8,1,44.9,122.9
5,4.4,4.2,1,80.0,127.04
3,1.7,4.3,1,90.7,131.48
5,3.4,4.7,1,58.5,123.39
3,3.0,3.8,0,86.4,133.98
4,4.6,2.9,1,80.3,135.16
4,3.8,4.7,0,88.2,132.67
4,3.8,4.3,1,85.5,129.67
3,4.7,5.0,0,85.4,131.43
3,4.4,3.5,1,91.0,131.42
3,4.9,4.2,1,88.8,134.18
3,2.4,2.0,1,81.7,128.11
2,2.7,3.1,1,77.5,129.57
5,4.0,2.3,1,87.6,131.12
3,3.7,2.6,1,83.1,129.7
3,3.7,4.0,1,94.8,132.45
2,1.0,1.4,1,37.7,115.5
3,1.9,2.8,0,74.9,129.05
3,3.3,3.4,0,44.0,116.83
2,1.2,2.1,0,37.8,114.69
5,1.2,1.5,0,59.7,121.36
5,1.1,2.0,1,41.1,119.45
3,3.3,2.5,1,72.8,125.69
4,5.0,4.9,1,95.5,132.42
2,4.0,4.6,0,88.4,130.99
4,4.2,4.9,1,91.9,127.95
5,4.9,4.9,1,86.1,128.29
2,3.7,1.7,0,57.0,116.09
2,4.0,4.1,1,77.0,125.74
5,2.0,1.8,0,56.7,121.28
5,4.8,3.5,1,78.7,120.25
4,4.0,4.0,1,77.6,127.93
2,2.8,4.5,1,80.1,129.35
2,1.8,2.8,0,51.9,119.07
3,2.9,4.2,1,79.3,129.43
3,4.0,4.5,0,88.6,130.22
5,3.3,4.2,1,79.6,128.72
2,4.6,4.4,1,81.6,132.1
3,3.3,4.6,1,60.7,124.45
2,2.2,3.2,1,75.9,133.67
4,5.0,4.0,0,88.2,130.58
4,3.3,4.0,1,61.3,119.69
1,1.3,1.8,0,41.4,114.34
2,4.3,3.4,0,89.3,128.91
3,2.7,3.8,1,69.9,124.79
2,2.7,3.9,0,80.2,124.65
5,2.9,3.6,1,64.1,120.68
3,3.2,4.5,0,53.9,117.31
2,4.6,3.6,0,76.7,123.79
5,5.0,4.8,1,90.4,134.69
4,4.1,4.3,1,94.5,135.61
3,4.1,3.4,0,74.0,127.5
3,2.1,3.1,0,57.2,125.35
4,3.9,3.6,1,74.5,125.15
3,4.9,2.6,1,86.0,132.63
4,4.0,3.8,0,87.0,132.03
4,4.5,2.4,1,85.5,126.84
3,3.5,3.5,1,84.1,126.08
3,4.1,3.9,1,71.1,118.65
3,4.8,4.5,0,91.1,127.51
4,2.0,3.1,1,68.5,121.4
2,2.5,1.6,0,55.5,121.45
3,4.2,4.5,1,75.8,128.86
4,1.0,2.9,0,39.4,115.8
4,2.6,2.9,0,52.7,125.62
3,2.8,4.1,0,82.3,126.05
4,4.6,4.1,1,53.0,118.72
4,4.8,4.1,0,81.7,131.91
3,1.2,2.3,1,69.3,126.74
5,2.3,4.2,1,57.0,127.29
2,4.5,4.3,0,88.0,129.28
3,1.4,2.8,0,70.6,126.17
2,4.3,5.0,0,78.2,126.8
2,4.9,4.2,1,73.3,120.47
1,4.8,4.7,1,91.0,131.47
1,4.6,3.3,1,87.6,127.43
5,3.0,4.1,0,79.5,127.08
4,4.7,4.8,1,85.8,132.91
4,5.0,4.5,1,91.9,132.63
3,1.6,1.5,0,51.0,120.93
4,4.9,4.8,0,91.2,130.09
2,2.5,2.3,1,57.0,121.24
1,5.0,5.0,0,90.6,133.68
4,4.4,4.6,1,96.3,134.04
2,3.4,3.7,1,83.1,131.32
1,3.2,3.4,0,51.9,120.64
4,4.4,4.2,1,86.1,128.72
3,4.7,4.4,1,67.0,125.03
4,1.2,2.2,1,64.7,119.29
2,5.0,4.5,1,86.6,134.87
3,4.0,2.6,0,91.4,132.06
2,2.4,3.3,0,40.1,113.77
3,2.4,1.6,1,79.5,128.5
2,1.7,2.5,1,76.5,124.73
5,1.2,2.3,0,58.9,124.78
3,4.0,4.6,0,74.8,128.19
5,2.5,4.5,0,59.6,121.85
4,4.1,4.0,1,91.7,131.65
2,3.6,4.8,1,88.6,132.74
3,4.8,4.6,1,77.9,124.3
2,4.6,4.2,1,93.1,131.03
3,4.4,2.9,0,71.4,126.5
3,3.9,4.1,0,90.6,130.9
2,4.3,2.9,1,72.1,123.65
2,4.6,3.4,1,76.2,126.18
2,3.7,4.6,0,71.5,122.87
5,4.6,4.9,1,85.2,128.71
2,4.0,2.6,0,62.1,122.07
5,2.3,4.1,0,78.6,126.57
5,2.1,4.0,0,68.8,126.49
5,4.3,2.9,0,78.7,126.87
3,2.0,4.5,0,60.2,121.39
5,4.8,4.9,1,86.6,127.95
3,2.0,3.5,1,72.1,130.23
5,5.0,5.0,0,94.1,134.16
1,1.9,1.7,1,59.5,118.37
5,2.8,2.0,0,66.2,120.12
2,3.6,1.4,0,73.6,128.04
4,4.4,4.3,1,74.5,127.26
2,4.5,4.0,0,71.3,130.69
4,3.4,4.0,0,91.0,130.35
4,1.0,2.9,1,35.7,114.91
3,5.0,4.9,1,66.9,121.57
2,3.6,1.5,1,57.2,119.21
3,3.0,4.4,1,85.3,131.17
3,1.0,1.7,1,66.0,129.43
2,5.0,4.9,1,86.7,130.25
5,2.0,2.3,0,75.0,125.85
2,1.0,3.1,0,41.0,115.31
3,4.6,3.8,1,69.9,121.95
2,1.5,1.8,1,54.4,122.36
3,3.3,2.8,1,76.4,124.5
3,1.7,1.5,0,43.6,117.39
3,4.2,4.1,1,80.5,130.68
3,4.9,5.0,1,96.2,134.31
2,2.9,4.2,0,44.9,114.56
3,2.3,1.5,1,54.7,116.16
3,3.0,3.4,0,64.5,121.31
3,2.5,3.1,1,86.1,129.57
2,1.1,1.6,1,74.0,127.57
4,2.1,3.4,0,54.7,122.5
5,2.9,3.5,1,64.8,126.04
5,1.7,4.6,0,70.0,126.44
4,3.0,4.2,1,87.9,134.62
2,4.8,4.7,1,62.7,121.23
3,1.0,2.3,0,43.7,117.13
5,1.2,1.4,0,34.1,116.2
3,5.0,2.9,0,81.3,119.36
1,1.0,1.6,0,70.8,120.82
2,3.6,4.0,1,86.3,134.66
3,2.9,4.7,0,69.4,123.74
2,1.0,1.6,0,41.2,121.02
3,2.8,3.3,0,53.5,118.26
1,1.0,2.2,0,46.0,117.72
2,5.0,4.8,0,89.0,126.46
5,1.6,4.6,0,43.4,116.84
3,3.4,4.7,0,62.8,122.86
5,2.2,2.9,0,44.2,118.21
3,3.1,2.1,1,55.3,118.84
3,4.1,4.4,1,79.3,125.95
3,2.7,3.6,1,82.2,125.8
4,5.0,5.0,1,94.0,133.22
3,5.0,4.3,1,94.3,127.86
4,3.8,4.8,0,75.1,127.31
2,4.0,4.8,1,84.5,132.32
4,4.9,4.9,1,84.1,129.02
4,4.5,2.5,1,84.6,127.44
3,4.2,3.6,0,50.3,119.6
5,4.1,3.3,1,66.6,123.87
3,3.6,4.2,0,68.0,125.15
2,3.9,2.8,0,41.8,115.09
5,4.1,2.6,0,59.4,117.66
3,3.7,2.3,1,56.0,117.21
2,3.1,4.9,1,80.3,133.15
2,2.2,3.4,0,79.9,120.74
4,2.9,3.7,0,77.1,129.69
2,3.4,4.7,1,91.4,129.12
2,4.4,4.2,0,56.9,124.7
5,2.9,2.4,0,62.6,130.35
3,4.4,4.6,0,81.5,126.3
3,4.9,4.6,1,84.2,132.93
3,2.8,3.4,1,73.8,127.79
4,1.2,3.1,1,69.7,124.51
3,3.9,2.3,1,88.2,131.47
2,4.2,4.7,1,71.6,127.34
3,2.2,3.7,0,72.2,127.31
2,4.7,3.2,1,95.2,132.43
3,2.5,1.7,1,67.8,119.07
2,1.4,3.7,0,59.4,121.2
5,1.8,2.2,1,62.2,124.19
2,3.8,3.8,1,81.2,125.14
3,1.9,2.8,1,74.4,120.07
3,2.3,3.1,0,71.6,123.49
5,4.3,3.8,1,76.0,128.01
3,3.7,3.7,0,79.3,125.69
3,2.6,4.4,1,78.9,124.7
1,2.6,2.9,1,75.6,132.05
1,3.9,2.7,1,79.7,124.71
2,4.9,5.0,1,95.5,131.3
3,4.9,4.9,1,92.7,130.93
4,4.7,3.5,1,85.3,130.48
3,2.8,1.9,0,49.1,121.42
3,2.1,2.4,0,47.5,118.54
3,4.2,2.4,1,88.9,129.71
3,4.3,4.5,1,95.2,133.38
2,3.1,3.5,1,86.4,133.19
2,3.9,3.3,1,57.9,125.15
5,4.7,3.7,0,73.2,126.21
2,1.4,2.4,1,63.2,122.34
2,4.6,4.8,0,74.0,125.27
2,3.2,4.2,0,84.5,130.8
4,2.3,3.7,1,65.3,121.67
2,1.9,1.7,0,37.7,115.45
2,3.0,3.3,1,39.1,116.83
2,4.9,4.0,1,93.5,133.32
2,2.9,1.8,0,60.9,118.69
2,3.4,3.6,1,76.6,130.27
3,1.7,3.2,0,46.9,115.13
5,4.1,4.6,1,92.0,131.67
